Slug,Thumbnail,Google Scholar ID,Authors,Title,Journal,URL,Status,Abstract,Year,Ersilia Affiliation,Senior,Year Web,Citations
malaria-immunology,F4.large.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/y9M_PyNj9h5HudCIp2ghnQ/j9nzkEURjHYEYgRT3o3x9PRpayH4wt2POI7dexoW1k2mNrBRjdXy5rnHJ74defTV-tb3W5S7s7OXBC_Dqt7rIrx0Ksj8CQmL3hUbLkob3-KsCXNNoQuu0BHbwhlHM8qvG-hMAAH9U6ZtxyXtGd8gMg/EY8LL3EXMVp54oXNoBOcw52mY0kltxtv42T1Mn0AhBE),9372907074503904615,"Gemma Moncunill, Anja Scholzen, Maximillian Mpina, Augusto Nhabomba, Aurore Bouyoukou Hounkpatin, Lourdes Osaba, Raquel Valls, Joseph J Campo, Hèctor Sanz, Chenjerai Jairoce, Nana Aba Williams, Erica M Pasini, David Arteta, Joan Maynou, Lourdes Palacios, Miquel Duran-Frigola, John J Aponte, Clemens HM Kocken, Selidji Todagbe Agnandji, José Manuel Mas, Benjamin Mordmüller, Claudia Daubenberger, Robert Sauerwein, Carlota Dobaño",Antigen-stimulated PBMC transcriptional protective signatures for malaria immunization,Science Translational Medicine,https://stm.sciencemag.org/content/12/543/eaay8924.abstract,Peer reviewed,"Identifying immune correlates of protection and mechanisms of immunity accelerates and streamlines the development of vaccines. RTS,S/AS01E, the most clinically advanced malaria vaccine, has moderate efficacy in African children. In contrast, immunization with sporozoites under antimalarial chemoprophylaxis (CPS immunization) can provide 100% sterile protection in naïve adults. We used systems biology approaches to identifying correlates of vaccine-induced immunity based on transcriptomes of peripheral blood mononuclear cells from individuals immunized with RTS,S/AS01E or chemoattenuated sporozoites stimulated with parasite antigens in vitro. Specifically, we used samples of individuals from two age cohorts and three African countries participating in an RTS,S/AS01E pediatric phase 3 trial and malaria-naïve individuals participating in a CPS trial. We identified both preimmunization and …",2020,No,No,2020,33
cervical-cancer,cacx.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/IRTrv1gcxDTK991IcStreQ/7uK5ST5AwrYlq_3kmPBe3Fkw8n8Br0RPAYXjjZ00dhtsta4aOsbAeCMNKS0a_RA9TeDkoGiuzStzpLur1QT13NHthkEzK_h_xwBBuZCARxqKpkHKsel0fIYKfrKl7NxI_cv5PTIEmfbTd_zzVp76mg/EjZBdae3lSjciRbaxEHprSWk23xddkQ1W5bHj-0fXDg),13106315228575407155,"Jake M Pry, Albert Manasyan, Sharon Kapambwe, Katayoun Taghavi, Miquel Duran-Frigola, Mulindi Mwanahamuntu, Izukanji Sikazwe, Jane Matambo, Jack Mubita, Kennedy Lishimpi, Kennedy Malama, Carolyn Bolton Moore","Cervical cancer screening outcomes in Zambia, 2010–19: a cohort study",The Lancet Global Health,https://www.sciencedirect.com/science/article/pii/S2214109X21000620,Peer reviewed,"Globally, cervical cancer is the fourth leading cause of cancer-related death among women. Poor uptake of screening services contributes to the high mortality. We aimed to examine screening frequency, predictors of screening results, and patterns of sensitisation strategies by age group in a large, programmatic cohort.
We did a cohort study including 11 government health facilities in Lusaka, Zambia, in which we reviewed routine programmatic data collected through the Cervical Cancer Prevention Program in Zambia (CCPPZ). Participants who underwent cervical cancer screening in one of the participating study sites were considered for study inclusion if they had a screening result. Follow-up was accomplished per national guidelines. We did descriptive analyses and mixed-effects logistic regression for cervical cancer screening results allowing random effects at the individual and clinic level …",2021,Yes,No,2021,20
bioactivity-descriptors,41467_2021_24150_Fig1_HTML.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/5cSVgzuy5hG_tJr37WwYtA/9XrjKxLiJ1or3eZ9XBp094hcymWhzUFU8Pp7wa7gAh5X0me4h6BwgIATsf9uueLDEDz6RQoBy5r4MhzFEytfwGJ7FA9-El7yKk0sxSxuHvqS56RaSaenDi7KgcoILT3gWQ6g4G6VL6glU8g0koHz7oQiaIe6SVyFG_dhgRECbEM/dSPNZ2DZmk5v7cdbiLDTRaCXR8N_IHqByT9mSx0BY90),654927780944574793,"Martino Bertoni, Miquel Duran-Frigola, Pau Badia-i-Mompel, Eduardo Pauls, Modesto Orozco-Ruiz, Oriol Guitart-Pla, Víctor Alcalde, Víctor M Diaz, Antoni Berenguer-Llergo, Isabelle Brun-Heath, Núria Villegas, Antonio García de Herreros, Patrick Aloy",Bioactivity descriptors for uncharacterized chemical compounds,Nature Communications,https://www.nature.com/articles/s41467-021-24150-4,Peer reviewed,"Chemical descriptors encode the physicochemical and structural properties of small molecules, and they are at the core of chemoinformatics. The broad release of bioactivity data has prompted enriched representations of compounds, reaching beyond chemical structures and capturing their known biological properties. Unfortunately, bioactivity descriptors are not available for most small molecules, which limits their applicability to a few thousand well characterized compounds. Here we present a collection of deep neural networks able to infer bioactivity signatures for any compound of interest, even when little or no experimental information is available for them. Our signaturizers relate to bioactivities of 25 different types (including target profiles, cellular response and clinical outcomes) and can be used as drop-in replacements for chemical descriptors in day-to-day chemoinformatics tasks. Indeed, we illustrate how inferred bioactivity signatures are useful to navigate the chemical space in a biologically relevant manner, unveiling higher-order organization in natural product collections, and to enrich mostly uncharacterized chemical libraries for activity against the drug-orphan target Snail1. Moreover, we implement a battery of signature-activity relationship (SigAR) models and show a substantial improvement in performance, with respect to chemistry-based classifiers, across a series of biophysics and physiology activity prediction benchmarks.",2021,No,Yes,2021,42
alzheimer-mice,ad-mice.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/AXNhTmURuhZAk-KIMGAhJQ/vTXuVienHiRJo_9hd8phINIvgfrEvNnkd3YaNXYJmuzxUcIz0jL4Y6F5-fFNwG_8FGCG3xvF3aHeNGLttRE1d-ugww_wWxg_t4Nzei_UjSZc1CSu9LGYpvMgtjt7CIs-YWUM6nqVyGRJsYmqg4R69Q/QkfGxCUmCqvjxWKsN9zFLvYpTBbBYQroDpB2wBCaxcc),5655891531879933526,"Eduardo Pauls, Sergi Bayod, Lídia Mateo, Victor Alcalde, Teresa Juan-Blanco, Takaomi C Saido, Takashi Saito, Antoni Berenguer-Llergo, Camille Stephan-Otto Attolini, Marina Gay, Eliandre de Oliveira, Miquel Duran-Frigola, Patrick Aloy","Identification and drug-induced reversion of molecular signatures of Alzheimers disease onset and progression in AppNL-GF, AppNL-F and 3xTg-AD mouse models",Genome Medicine,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-021-00983-y,Peer reviewed,"Alzheimers disease (AD) is the most common form of dementia. Over fifty years of intense research have revealed many key elements of the biology of this neurodegenerative disorder. However, our understanding of the molecular bases of the disease is still incomplete, and the medical treatments available for AD are mainly symptomatic and hardly effective. Indeed, the robustness of biological systems has revealed that the modulation of a single target is unlikely to yield the desired outcome and we should therefore move from gene-centric to systemic therapeutic strategies. Here we present the complete characterization of three murine models of AD at different stages of the disease (i.e. onset, progression and advanced). To identify genotype-to-phenotype relationships, we combine the cognitive assessment of these mice with histological analyses and full transcriptional and protein quantification profiling of the hippocampus. Comparison of the gene and protein expression trends observed in AD progression and physiological aging revealed certain commonalities, such as the upregulation of microglial and inflammation markers. However, although AD models show accelerated aging, other factors specifically associated with Aβ pathology are involved. Despite the clear correlation between mRNA and protein levels of the dysregulated genes, we discovered a few proteins whose abundance increases with AD progression, while the corresponding transcript levels remain stable. Indeed, we show that at least two of these proteins, namely lfit3 and Syt11, co-localize with Aβ plaques in the brain. Finally, we derived specific Aβ-related molecular AD …",2021,No,No,2021,9
secondary-metabolite-workshop,ntiekang.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/fiYYOf26AK2GBwuqRE5feA/GqnXLAWCg6d4XF6XiMCjDCbSyjIDtdhiqiN1fYnMma9t848IjaeoYJM_XGm04JdikJZONbAHQLKBzp3fr2NNAe_XZfyvdhK93tiMBuuh0O29IlcPXxpXobVV2bSGoVRnjaZUFm76JnrawgYsFTDZdA/Ruh5U_kT8CxA1qXRrhJsDt_AhuCu_qGkYYl3RvExH5A),7379390341201268136,Fidele Ntie-Kang et al.,Computational Applications in Secondary Metabolite Discovery (CAiSMD): an online workshop,Journal of Cheminformatics,https://pubmed.ncbi.nlm.nih.gov/34488889/,Peer reviewed,"We report the major conclusions of the online open-access workshop ""Computational Applications in Secondary Metabolite Discovery (CAiSMD)"" that took place from 08 to 10 March 2021. Invited speakers from academia and industry and about 200 registered participants from five continents (Africa, Asia, Europe, South America, and North America) took part in the workshop. The workshop highlighted the potential applications of computational methodologies in the search for secondary metabolites (SMs) or natural products (NPs) as potential drugs and drug leads. During 3 days, the participants of this online workshop received an overview of modern computer-based approaches for exploring NP discovery in the ""omics"" age. The invited experts gave keynote lectures, trained participants in hands-on sessions, and held round table discussions. This was followed by oral presentations with much interaction between the speakers and the audience. Selected applicants (early-career scientists) were offered the opportunity to give oral presentations (15 min) and present posters in the form of flash presentations (5 min) upon submission of an abstract. The final program available on the workshop website ( https://caismd.indiayouth.info/ ) comprised of 4 keynote lectures (KLs), 12 oral presentations (OPs), 2 round table discussions (RTDs), and 5 hands-on sessions (HSs). This meeting report also references internet resources for computational biology in the area of secondary metabolites that are of use outside of the workshop areas and will constitute a long-term valuable source for the community. The workshop concluded with an online survey form to be completed by speakers and participants for the goal of improving any subsequent editions.",2021,Yes,No,2021,3
connecting-chemistry-biology-descriptors,chemistry-biology.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/8zLJIaUctWnfQdKyibL6-A/r3Te2sSJhghj1j_PJjSiZbI8ovGJF-_0Z73deAiwxNcRw3UKPXYy57Y0zvOBK3ljNCO-yjMyRqZLDfTcuqFdILHYJb9UO2Mi9qOi7s3VIXhJQe7eozoaVw_nXb_gWkbfEnF5b-9DckxX1cwRiwwuaiekMc71QAq-mxA3e1V6eLk/UMwzUuAMGZ1ku-KxhpNfBD7CbH75-HtzItPnM_eaMnQ),11355186905438079319,"Adrià Fernández-Torras, Arnau Comajuncosa-Creus, Miquel Duran-Frigola, Patrick Aloy",Connecting chemistry and biology through molecular descriptors,Current Opinion in Chemical Biology,https://www.sciencedirect.com/science/article/pii/S1367593121001204?via%3Dihub,Peer reviewed,"Through the representation of small molecule structures as numerical descriptors and the exploitation of the similarity principle, chemoinformatics has made paramount contributions to drug discovery, from unveiling mechanisms of action and repurposing approved drugs to de novo crafting of molecules with desired properties and tailored targets. Yet, the inherent complexity of biological systems has fostered the implementation of large-scale experimental screenings seeking a deeper understanding of the targeted proteins, the disrupted biological processes and the systemic responses of cells to chemical perturbations. After this wealth of data, a new generation of data-driven descriptors has arisen providing a rich portrait of small molecule characteristics that goes beyond chemical properties. Here, we give an overview of biologically relevant descriptors, covering chemical compounds, proteins and other biological entities, such as diseases and cell lines, while aligning them to the major contributions in the field from disciplines, such as natural language processing or computer vision. We now envision a new scenario for chemical and biological entities where they both are translated into a common numerical format. In this computational framework, complex connections between entities can be unveiled by means of simple arithmetic operations, such as distance measures, additions, and subtractions.",2021,Yes,No,2021,29
ctd2-dream-challenge,c8654880.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/YZz33ij0YbdITuqFBOTuRQ/HV7qEFCJzHawnd_rsB1m8b4alReLXC_3Uq_8h2Mi-FeDtnDP5kMTA0h6mIcoIgtoHb03DV_mcImE8eGXZc-AcvsNL-HX9WcqKYabXiaOKlb4Zu9VDyGllCncZlgcH2yPoPyzAnb3YOVCVs0dNf4s6w/JmOJAjKsKMN7-zdtFvaSV_APrefiUj-Wm4kTQqd35qU),4816217094330075190,"Eugene F Douglass, Robert J Allaway, Bence Szalai, Wenyu Wang, Tingzhong Tian, Adrià Fernández-Torras, Ron Realubit, Charles Karan, Shuyu Zheng, Alberto Pessia, Ziaurrehman Tanoli, Mohieddin Jafari, Fangping Wan, Shuya Li, Yuanpeng Xiong, Miquel Duran-Frigola, Martino Bertoni, Pau Badia, Lídia Mateo, Oriol Guitart-Pla, Verena Chung, Jing Tang, Jianyang Zeng, Patrick Aloy, Julio Saez-Rodriguez, Justin Guinney, Daniela S Gerhard, Andrea Califano, Challenge Consortium",A community challenge for a pancancer drug mechanism of action inference from perturbational profile data,Cell Reports Medicine,https://www.cell.com/cell-reports-medicine/pdf/S2666-3791(21)00369-4.pdf,Peer reviewed,"The Columbia Cancer Target Discovery and Development (CTD2) Center is developing PANACEA, a resource comprising dose-responses and RNA sequencing (RNA-seq) profiles of 25 cell lines perturbed with ∼400 clinical oncology drugs, to study a tumor-specific drug mechanism of action. Here, this resource serves as the basis for a DREAM Challenge assessing the accuracy and sensitivity of computational algorithms for de novo drug polypharmacology predictions. Dose-response and perturbational profiles for 32 kinase inhibitors are provided to 21 teams who are blind to the identity of the compounds. The teams are asked to predict high-affinity binding targets of each compound among ∼1,300 targets cataloged in DrugBank. The best performing methods leverage gene expression profile similarity analysis as well as deep-learning methodologies trained on individual datasets. This study lays the foundation for future integrative analyses of pharmacogenomic data, reconciliation of polypharmacology effects in different tumor contexts, and insights into network-based assessments of drug mechanisms of action.",2022,No,No,2022,38
hiv-kidney,journal.pgph.0000124.g004.PNG (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/Agp1EEb-Y6YD0W_kyPvk-Q/0FF42HLXWOda3npEtO_Yki9ThLzitqiMPPltSOj_2PpR-Z8SGbH0oWjsOxEWzDAxKaXNSv3QtnGg0Fhd_HLhAyRx8EB5Vlq6AStxxC28FgUpdo3oemEBe8QP-EpHQId2qUO6SudSbOsIcKeVT1wgIpaveWuNGvPsxCl4CG_Jtgc/gRMUI4lpYsC9LEg3uryIXxdkMnmSJo6owiDzUBkml_k),7597251621467940743,"Jake M. Pry, Michael J. Vinikoor, Carolyn Bolton Moore, Monika Roy, Aaloke Mody, Izukanji Sikazwe, Anjali Sharma, Belinda Chihota, Miquel Duran-Frigola, Harriet Daultrey, Jacob Mutale, Andrew D. Kerkhoff, Elvin H. Geng, Brad H. Pollock, Jaime H. Vera",Evaluation of kidney function among people living with HIV initiating antiretroviral therapy in Zambia,PLOS Global Health,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0000124,Peer reviewed,"As the response to the HIV epidemic in sub-Saharan Africa continues to mature, a growing number of people living with HIV (PLHIV) are aging and risk for non-communicable diseases increases. Routine laboratory tests of serum creatinine have been conducted to assess HIV treatment (ART) suitability. Here we utilize those measures to assess kidney function impairment among those initiating ART. Identification of non-communicable disease (NCD) risks among those in HIV care creates opportunity to improve public health through care referral and/or NCD/HIV care integration. We estimated glomerular filtration rates (eGFR) using routinely collected serum creatinine measures among a cohort of PLHIV with an HIV care visit at one of 113 Centre for Infectious Disease Research Zambia (CIDRZ) supported sites between January 1, 2011 and December 31, 2017, across seven of the ten provinces in Zambia. We used mixed-effect Poisson regression to assess predictors of eGFR <60ml/min/1.73m2 allowing random effects at the individual and facility level. Additionally, we assessed agreement between four eGFR formulae with unadjusted CKD-EPI as a standard using Scott/Fleiss method across five categories of kidney function. A total of 72,933 observations among 68,534 individuals met the inclusion criteria for analysis. Of the 68,534, the majority were female 41,042 (59.8%), the median age was 34 (interquartile range [IQR]: 28–40), and median CD4 cell count was 292 (IQR: 162–435). The proportion of individuals with an eGFR <60ml/min/1.73m2 was 6.9% (95% CI: 6.7–7.1%) according to the unadjusted CKD-EPI equation. There was variation in agreement across eGFR formulas considered compared to unadjusted CKD-EPI (χ2 p-value <0.001). Estimated GFR less than 60ml/min/1.73m2, per the unadjusted CKD-EPI equation, was significantly associated with age, sex, body mass index, and blood pressure. Using routine serum creatinine measures, we identified a significant proportion of individuals with eGFR indicating moderate or great kidney function impairment among PLHIV initiating ART in Zambia. It is possible that differentiated service delivery models could be developed to address this subset of those in HIV care with increased risk of chronic kidney disease.",2022,Yes,No,2022,3
bioteque,bioteque.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/GQTi92VTMAK9HGWE2eTPAg/f29o0LmA6fQsHNC9-Z1dIuvaSwUIfLL314VEbhOc6GxIiVWbm7VDV9W5Z9_6AOE-fJ3YqTApwIXGB5xcEyWOtIcoM9DrIWNUn5fEAbbwKETFz1T5YAkKJiSrQ0t0Bp5TxpURP2CJVJY4_XwF1LsUww/RB4FT8aXiZmKZvGR5jI3FIhrB-QQXnvFMV6ZufM3YLo),12920178585107461575,"Adria Fernandez-Torras, Miquel Duran-Frigola, Martino Bertoni, Martina Locatelli, Patrick Aloy",Integrating and formatting biomedical data as pre-calculated knowledge graph embeddings in the Bioteque,Nature Communications,https://www.nature.com/articles/s41467-022-33026-0,Peer reviewed,"Biomedical data is accumulating at a fast pace and integrating it into a unified framework is a major challenge, so that multiple views of a given biological event can be considered simultaneously. Here we present the Bioteque, a resource of unprecedented size and scope that contains pre-calculated biomedical descriptors derived from a gigantic knowledge graph, displaying more than 450 thousand biological entities and 30 million relationships between them. The Bioteque integrates, harmonizes, and formats data collected from over 150 data sources, including 12 biological entities (e.g., genes, diseases, drugs) linked by 67 types of associations (e.g., ‘drug treats disease’, ‘gene interacts with gene’). We show how Bioteque descriptors facilitate the assessment of high-throughput protein-protein interactome data, the prediction of drug response and new repurposing opportunities, and demonstrate that they can be used off-the-shelf in downstream machine learning tasks without loss of performance with respect to using original data. The Bioteque thus offers a thoroughly processed, tractable, and highly optimized assembly of the biomedical knowledge available in the public domain.",2022,Yes,Yes,2022,28
